epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,29547.9,1.52639,1.37335,1.34178,0.55835,0.44037,0.46803,0.25996,1.72104,1.5123,1.48798,0.00546421,0.00546421,0.00546421
144,29745.7,1.51548,1.36365,1.33777,0.55828,0.43948,0.4678,0.26005,1.72266,1.51269,1.48873,0.00541253,0.00541253,0.00541253
145,29950.4,1.51767,1.36471,1.33507,0.56148,0.43849,0.46793,0.26,1.72385,1.5139,1.48935,0.00536081,0.00536081,0.00536081
146,30155.9,1.515,1.36176,1.33491,0.56572,0.4364,0.46724,0.25979,1.72489,1.51494,1.48947,0.00530906,0.00530906,0.00530906
147,30361.5,1.51259,1.35825,1.33268,0.5632,0.43697,0.46696,0.2595,1.72581,1.51601,1.48965,0.00525728,0.00525728,0.00525728
148,30567.1,1.50733,1.35022,1.33038,0.5617,0.43654,0.46653,0.25913,1.72722,1.5171,1.49033,0.00520548,0.00520548,0.00520548
149,30772.8,1.5095,1.34709,1.32549,0.56619,0.43442,0.4667,0.25887,1.72848,1.51764,1.49069,0.00515366,0.00515366,0.00515366
150,30978.8,1.50267,1.34524,1.32413,0.56548,0.43377,0.46662,0.25879,1.73002,1.51895,1.49125,0.00510184,0.00510184,0.00510184
151,31185.1,1.50941,1.34438,1.32818,0.56216,0.43289,0.467,0.25866,1.73109,1.5199,1.49117,0.00505,0.00505,0.00505
152,31390.5,1.49538,1.33381,1.32178,0.56095,0.43342,0.46672,0.25856,1.73222,1.52109,1.49165,0.00499816,0.00499816,0.00499816
153,31596.2,1.4975,1.33538,1.31868,0.55993,0.43443,0.46672,0.25848,1.73325,1.52218,1.49181,0.00494634,0.00494634,0.00494634
154,31801.8,1.49566,1.32637,1.31868,0.55541,0.43652,0.46654,0.25849,1.73411,1.52318,1.49224,0.00489452,0.00489452,0.00489452
155,32007.3,1.49516,1.32359,1.31887,0.5544,0.43847,0.4663,0.25825,1.7353,1.52441,1.49271,0.00484272,0.00484272,0.00484272
156,32212.6,1.49049,1.31737,1.31737,0.55347,0.43791,0.46591,0.25826,1.73654,1.52559,1.49344,0.00479094,0.00479094,0.00479094
157,32419,1.48786,1.31116,1.31315,0.55121,0.43896,0.4658,0.25805,1.73723,1.52656,1.49391,0.00473919,0.00473919,0.00473919
158,32624.7,1.48731,1.31276,1.31261,0.55117,0.4384,0.46522,0.25769,1.73857,1.52792,1.49471,0.00468747,0.00468747,0.00468747
159,32830.5,1.48588,1.31258,1.31438,0.54907,0.43975,0.46521,0.25754,1.73988,1.5292,1.4955,0.00463579,0.00463579,0.00463579
160,33037.6,1.48034,1.30383,1.3118,0.54012,0.44319,0.46489,0.25724,1.74061,1.53021,1.49592,0.00458416,0.00458416,0.00458416
